FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
Engine 331/Ladder 173,158-57 Cross Bay Boulevard,Queens,11414,40.65993,-73.840045,10,32,892,4295071,4141630101,Lindenwood-Howard Beach                                                    
Engine 264/Engine 328/Ladder 134,16-15 Central Avenue,Queens,11691,40.604897,-73.752226,14,31,103202,4529057,4155590025,Far Rockaway-Bayswater                                                     
Engine 265/Ladder 121/Battalion 47 EMS Station 47,48-06 Rockaway Beach Boulevard,Queens,11691,40.593377,-73.778978,14,31,97204,4539800,4158400001,Hammels-Arverne-Edgemere                                                   
Engine 266/Battalion 47,92-20 Rockaway Beach Boulevard,Queens,11693,40.58633,-73.815775,14,32,94202,4439014,4161270001,Hammels-Arverne-Edgemere                                                   
Engine 268/Ladder 137,257 Beach 116th Street,Queens,11694,40.580627,-73.837683,14,32,93402,4304442,4162120017,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
Engine 329,402 Beach 169th Street,Queens,11695,40.566034,-73.881874,84,32,918,4307098,4163250001,park-cemetery-etc-Queens                                                   
Marine 9,Saint George Ferry Terminal,Staten Island,10301,40.644112,-74.072559,1,49,3,5000000,5000020001,West New Brighton-New Brighton-St. George                                  
Engine 155/Ladder 78,14 Brighton Avenue,Staten Island,10301,40.637734,-74.087746,1,49,77,5002472,5001030020,West New Brighton-New Brighton-St. George                                  
Ladder 79/Battalion 22,1189 Castleton Avenue,Staten Island,10310,40.63415,-74.122199,1,49,13302,5005308,5001980136,West New Brighton-New Brighton-St. George                                  
Engine 156,412 Broadway,Staten Island,10310,40.631093,-74.116574,1,49,125,5005815,5002170050,West New Brighton-New Brighton-St. George                                  
Engine 163/Ladder 83,875 Jewett Avenue,Staten Island,10314,40.615251,-74.130971,1,50,151,5010816,5003770018,Westerleigh                                                                
Engine 153/Ladder 77,74 Broad Street,Staten Island,10304,40.625167,-74.077772,1,49,27,5013836,5005290009,Stapleton-Rosebank                                                         
Engine 165/Ladder 85,3067 Richmond Road,Staten Island,10306,40.575827,-74.123727,2,50,181,5023532,5009490001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
Engine 157/Ladder 80,1573 Castleton Avenue,Staten Island,10302,40.636052,-74.135343,1,49,207,5025442,5010800002,Port Richmond                                                              
Engine 158,65 Harbor Road,Staten Island,10303,40.635547,-74.160224,1,49,223,5027755,5012270025,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
Engine 166/Ladder 86,1400 Richmond Avenue,Staten Island,10314,40.614265,-74.157735,2,50,29104,5031692,5016120005,New Springville-Bloomfield-Travis                                          
Engine 154/District Office 8/ Staten Island Borough Command,3730 Victory Boulevard,Staten Island,10314,40.598213,-74.180462,2,50,29102,5041882,5026650025,New Springville-Bloomfield-Travis                                          
Engine 152/Battalion 21,256 Hylan Boulevard,Staten Island,10305,40.611873,-74.070467,1,49,8,5042846,5028560015,Stapleton-Rosebank                                                         
Engine 161/Ladder 81,278 Mc Clean Avenue,Staten Island,10305,40.596826,-74.070138,2,50,74,5045654,5031080025,Grasmere-Arrochar-Ft. Wadsworth                                            
Engine 160/Rescue 5/Division 8,1850 Clove Road,Staten Island,10304,40.607485,-74.089111,2,50,50,5046179,5031530038,Grasmere-Arrochar-Ft. Wadsworth                                            
Engine 159,1592 Richmond Road,Staten Island,10304,40.590935,-74.100895,2,50,9602,5048682,5033060008,Old Town-Dongan Hills-South Beach                                          
Engine 162/Ladder 82/Battalion 23,256 Nelson Avenue,Staten Island,10308,40.543205,-74.147097,3,51,15601,5067428,5052710031,Great Kills                                                                
Engine 167/Ladder 87,345 Annadale Road,Staten Island,10312,40.554174,-74.175809,3,51,17012,5075428,5056420006,Annadale-Huguenot-Prince's Bay-Eltingville                                 
Engine 164/Ladder 84,1560 Drumgoole Road West,Staten Island,10312,40.535332,-74.195611,3,51,20804,5083491,5068280065,Rossville-Woodrow                                                          
Engine 168/EMS Station 23,1100 Rossville Avenue,Staten Island,10309,40.553977,-74.212812,3,51,20801,5154879,5070670252,Rossville-Woodrow                                                          
Engine 151/Ladder 76,7219 Amboy Road,Staten Island,10307,40.512518,-74.238822,3,51,248,5089056,5080400010,Charleston-Richmond Valley-Tottenville                                     
